x_recon,y_recon
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
4.323941520552259700e-03,-9.231271753255279600e-02
